sale_id,customer_name,customer_email,product,quantity,price_per_unit,sale_date
90553b3a-3aac-488d-989b-46d927c82b60,Andrew King,melanie32@example.org,authority,8,85.38,2024-04-28
f3eca345-421e-4258-9a2c-926b1f97659f,Amber Bush,lindseyyoung@example.com,door,5,51.69,2024-01-18
04c4ada4-912f-4402-9172-73e280c6a96c,Gary Gray,gfisher@example.com,kitchen,9,48.86,2024-08-14
ff845221-2fe8-441d-b3ab-f0c21c4d0608,David Perez,rubendavis@example.net,thank,5,53.89,2025-01-04
f42d9872-781d-4e19-a632-119d661f2350,Kristy Myers,xallen@example.com,matter,7,55.59,2024-10-21
487d665a-20fc-4bd7-94ce-115145c30027,Marie Hernandez,waltonemily@example.org,establish,10,78.75,2024-05-21
fb5ffead-1b81-4a9a-800c-7152989a0a53,Todd Garza,smithchristine@example.net,anything,2,8.41,2024-04-03
2628bf3b-2f0b-4347-8109-67f5f1fd55c5,Bradley Hogan,zgoodwin@example.net,product,2,41.32,2024-07-24
e803a9b0-1cd8-4c5c-a8cf-032634e1c2e9,Michael Castro,michelle66@example.com,itself,7,69.47,2024-05-12
67eaf346-f084-4caf-9457-101b06c751e9,Jason Duran,cooperryan@example.com,ok,1,98.83,2024-11-28
b68db26d-38cb-4126-8f30-7f96c53dfde5,David Ward,brandonwoods@example.org,sell,7,38.2,2024-02-04
3dcdff11-a21f-4910-aef1-d4f39cdb2af2,Gary Powell,hjohnson@example.net,other,4,37.07,2024-12-05
91d125a6-33e0-46ef-89e2-a6e814f8bebb,Heather Vasquez,colleenrobertson@example.com,few,3,11.45,2024-09-15
35330ad5-902b-444a-a3d1-b2a73ba8f493,Anthony Smith,kevinlyons@example.net,record,7,26.8,2024-05-20
2176d2c1-f339-4f59-9278-0a588bb9d404,Steven Collins,brianweiss@example.net,network,9,28.25,2024-05-16
83e2aa73-7caf-4b27-bdf1-3149e25b61b3,Jenna Love DDS,jyoung@example.org,similar,5,6.91,2024-04-12
c5ead58d-ca7d-45ff-9b75-2ac7bcd8f291,Sierra Arroyo,mackenzie75@example.org,little,4,79.96,2024-07-08
fc99751a-a3ed-4a97-a28f-036f3308f8b4,Katie Roberson,cynthiarodriguez@example.org,common,8,81.04,2024-08-10
c9fb6b9a-a8f2-40de-860d-344767ef18b1,Jeffery Clark,marco28@example.net,water,8,74.84,2024-06-07
1ff78979-22d2-40d9-a064-2d6cb0b58cdc,Regina Wilson MD,garrettnathan@example.com,total,1,26.89,2024-01-09
089301e1-0ea5-4ad9-aa5b-c88d83416bf5,Michael Maynard,torr@example.net,even,8,35.01,2024-03-04
faab2d9b-e3c4-4dfb-b873-cc1418823c81,Benjamin Simpson,debradiaz@example.net,staff,1,49.01,2024-12-23
b74ddf36-6c8e-420f-bc79-0294e946db4c,Travis Lee,larsonanthony@example.net,now,6,73.36,2024-01-10
65dcb9ac-637f-4a8f-8b2f-d2d4e8929c6f,Miss Kimberly Rios,raymond54@example.org,off,3,25.92,2024-12-04
8003bd15-a030-4691-abf5-aa6a0b1056c0,Brenda Watson,chelsea35@example.org,arm,7,64.78,2024-02-20
898dcff8-df28-425d-9ee3-bc076107dd9a,Kimberly Walker,solomontammy@example.com,heart,1,32.98,2024-08-12
89aa15f8-dc88-4d26-b19c-5d9f7910882c,Matthew Lane,mday@example.com,might,4,92.01,2024-09-29
bf834f1a-0db5-4444-b0ad-df675f3a4c97,Victoria Chavez,bradleyhernandez@example.net,food,5,51.48,2024-05-03
284b499b-342b-4bb1-8554-015692c26e8a,Justin Kirby,ccooper@example.org,between,7,55.46,2024-01-09
51e9d091-578c-40f4-9ac8-a42bda10fb7c,Matthew Walters,ryan37@example.net,fall,6,37.46,2024-12-07
57ede3f4-1152-40b9-be0a-6151b2487d80,Matthew Miller Jr.,rbrown@example.com,continue,2,8.01,2024-11-25
79143b57-2a63-4a7c-9a06-bd7a16d25067,Kurt Smith,stanleychristensen@example.com,fly,2,6.07,2024-12-11
7e9dfca1-4cd0-4e9e-b0a1-f505dd1220c3,Paul Mccall,anitamason@example.org,safe,3,37.76,2024-12-11
ce53fa42-8791-4415-9e6d-c45b68239069,Samantha Perry,wfields@example.org,finish,9,79.39,2024-01-12
99538743-b9d6-4b3d-aa7d-0139813006db,Michael Young,williamwatts@example.net,writer,10,22.73,2024-02-22
c038b68b-9865-461b-a769-1df13a2f020d,Jennifer Everett,thomashopkins@example.net,common,6,48.58,2025-01-06
e52bd262-ab10-4e3a-be13-bff27304ad21,Amanda Jones,ljohnson@example.net,account,5,92.8,2024-09-30
5d6f3f4a-2a54-4410-b26a-176eb637cc99,Eric Young,kaisermatthew@example.org,former,6,92.84,2024-02-21
05d3d85c-30dd-49fb-85e8-8f6e869d0e4a,Dr. Lisa Jackson,terri29@example.org,want,4,89.75,2024-02-10
0b1374a6-5d7f-4198-a5af-0b9ae8db4876,Benjamin Hess,sullivankatie@example.net,central,1,63.29,2024-06-22
d528a80a-4afd-4bf6-8283-9e851559c63e,Karen Reynolds,anthony11@example.com,fund,6,21.94,2024-02-23
ba1b369b-a96d-49be-9bbf-bc77eb3d2f8f,Steven Ochoa,haynesalexandra@example.net,peace,7,13.21,2024-02-05
6a728223-827b-4dd6-bb87-f96615aea4c9,Claudia Ortega,oortiz@example.org,bar,10,63.59,2024-09-12
2ed91eac-9e68-4bc0-8743-f6d2d1027352,Emily Branch,otodd@example.net,article,5,54.88,2024-04-04
8dec2b16-fc69-4cdf-92c1-7f168b9d4de0,Darryl Williams,rogerwest@example.org,letter,9,54.92,2024-04-12
8fb9e227-a28b-4a33-98bc-5b3036338307,Jason Smith,hollyfuller@example.org,performance,8,26.49,2024-05-16
a7c02c43-4adb-4b50-94a3-6b8b33deea27,Teresa Moody,igarcia@example.org,worry,7,31.88,2024-03-08
8f5c5748-9060-4b3e-b662-e403bb3a3c4a,Dustin Romero,amy77@example.org,else,2,57.92,2024-11-25
3e86c9ce-a265-4101-af52-5993f54ca0ed,Joshua Jones,eric17@example.net,water,5,16.24,2024-02-02
fdb18039-7489-418b-a7c0-c95bb05253d7,Danielle Turner,keithmorrison@example.net,accept,6,54.99,2024-04-05
aac56306-5be3-4f6e-90bf-56b90884dbed,Nicholas Stevens,tammy56@example.net,trouble,3,51.63,2024-12-19
ed0299a9-7cb9-4473-9010-b4073f645113,Gail Wong,abrown@example.org,for,7,14.34,2024-10-15
a99c5ff7-e6a0-41eb-9ebc-fa4ee9ff33f9,Arthur Espinoza,cameronnicholson@example.org,television,4,44.48,2024-07-08
7b69041c-38e9-4eda-ad4e-036001b6d81c,Mark Sanchez,stacybaker@example.org,along,2,94.97,2024-05-25
d267a097-2157-46e9-86b0-f38ab9363ce6,Kimberly Moore,zjordan@example.org,particularly,7,5.91,2024-01-27
21543734-2666-44aa-9f7c-43b7aa7c8dd1,John Gonzalez,georgeharper@example.org,loss,4,42.5,2024-09-27
9c98153c-7782-4ff0-ba73-b25114eaf386,Natalie Chavez,christopher94@example.org,energy,8,62.62,2024-09-23
3c296a54-2227-4de5-b38f-694cf2232f03,Anita Bowen,grayjane@example.com,eight,9,69.38,2024-08-12
0a78e5b5-9b6d-4d69-a663-d89105fc0649,John Vazquez,kwilson@example.org,deal,2,59.67,2024-04-16
7970c7f9-7eae-4bdb-9116-0d3515431b90,Lisa Barrera,ralph57@example.net,establish,10,27.37,2024-06-14
bab52d38-7a89-4aa7-94a0-e5c6c175d4b0,Matthew Taylor,robinsondavid@example.com,myself,2,47.4,2024-01-17
55519c6f-f6d4-4c85-a2f9-cd2576b57f36,Stephen White,hamiltonpatrick@example.net,dog,8,70.91,2024-12-07
fddc64d8-0f7d-4c79-b641-140d152020e8,Shelby Woodard,vclements@example.com,relationship,5,14.47,2024-12-19
ab62b676-0cc2-4dfd-ac98-432ea25869f1,Michelle Matthews,irichardson@example.com,red,10,51.58,2024-09-15
f19e0d85-e23a-4987-8255-34fed4503bf9,Justin Delgado,aliciasantana@example.net,morning,8,24.36,2024-10-31
03ddcaa3-5986-45e9-a6d3-797e2865f25a,Glenda Gonzalez,donna28@example.com,past,5,31.22,2024-10-18
30757590-7f8f-45fd-8c98-ffb6faef149b,Stacey French,rayeric@example.net,space,6,7.43,2024-07-03
3e17bf5f-7048-446f-b791-d85fcf3f4bb2,Timothy Peterson,joseph66@example.net,really,10,87.21,2024-05-06
18380c16-2594-4325-9995-94890d6685f8,Catherine Walker,ericksoncheryl@example.com,ten,2,27.52,2024-02-01
e11b47e8-c89c-489c-9ff6-210110e421f3,Joanna Dunn,hayestodd@example.com,miss,1,63.9,2024-08-31
8691081c-f7d9-4aa6-adb1-c7af7ac4218c,Leslie Hinton,tricia94@example.org,wear,1,29.81,2024-04-29
a0421550-c397-4078-be92-d81723f4bd4d,Sharon Norman,henrywilliams@example.net,science,7,57.96,2024-07-05
121ee6cb-139f-4e4c-9c4c-51362a2bebee,Caitlin Barber,harriswillie@example.org,skill,10,50.44,2024-12-23
558b792b-5fb4-48a9-a8da-c2656116e021,Darryl Sanders,kleindebra@example.org,while,10,99.69,2024-09-30
5a308b96-a343-45af-968f-5b05544ca758,Julia Franco,zacharyevans@example.net,increase,9,41.57,2024-03-06
0f47cca5-6345-420d-99a1-39af69ac0773,Brandy White,amanda42@example.net,stock,2,69.95,2024-04-18
25ffd998-5b24-44d1-b0e5-7b56092cf268,Kimberly Jackson,fthompson@example.com,ahead,10,30.91,2024-06-01
5b7d8720-8bb5-4347-ba12-357a2cebdef1,Rodney Mora,tanyaprice@example.org,majority,9,69.67,2024-08-28
fad025d6-3d07-4472-b800-c6e5ad93a723,Angela Pitts,wmiranda@example.org,industry,5,15.25,2024-10-14
e45bc845-3612-4b01-9d55-d35578eae653,Mr. Daniel Gutierrez,ivan28@example.com,use,3,5.67,2025-01-05
b85a4d8b-843f-4dfa-9dd0-0d55ec81ecf6,Emily Simmons,james10@example.com,yes,7,13.68,2024-05-08
aab52ce2-d71a-4da2-a83e-9fca97c03cbe,Elizabeth Herring,xmartin@example.com,sort,3,39.3,2024-10-03
cead0f85-1f83-4d77-9432-d03f0bd34df9,Brenda Harmon,udixon@example.net,case,5,85.04,2024-11-27
2696700c-aaf9-45e3-9313-3cfcf54bd7fa,Victor Delgado,bonnie87@example.org,head,8,72.29,2024-09-03
4daa72a4-16e2-4492-be56-6d5197f02f61,Tanya Graves,ruth82@example.net,level,5,99.07,2024-06-10
bdcc5df5-bbe7-4999-a635-c5496dc8b149,Hailey Park,qramirez@example.com,its,4,29.16,2024-10-04
863cae1f-8f5d-463b-b85f-8717620e6b32,Michael Greene,echen@example.com,do,6,57.99,2024-05-24
672e97d2-8593-46d8-8de7-eaae74a75f39,Ashley Morris,iwilliams@example.org,Republican,5,46.23,2024-07-20
636c8daf-7eec-4d8c-8287-54811a4fcf0e,Diane Ross,gsmith@example.net,per,5,86.46,2024-10-21
100a041b-8df4-4234-ba15-a5d96792999c,Rachel Richardson,nicholassanchez@example.com,leg,5,89.67,2024-10-09
f563d2a0-da37-4498-8476-b363291ca140,Cassidy Park,amberramirez@example.net,president,6,5.07,2024-01-09
5c8a3ec6-3bea-4a0d-a6ad-53ffd3211068,James Schmidt,thomas45@example.org,poor,2,54.92,2024-03-08
5d1779ac-684d-4f88-a4f8-2848784dd227,Andrea Mccarthy,hendricksjohn@example.net,total,9,72.05,2024-03-29
e68fb3e5-9e03-48b8-8492-a2931e1fad69,Jennifer Horton,monica27@example.com,personal,7,18.1,2024-05-15
fb547eec-384f-4b71-8d0b-14b2222ffff9,Scott Hoffman,john77@example.org,deep,9,6.48,2024-10-21
8af71998-b3ef-40ad-9318-e250f363df44,Marcus Sanders,jeremy65@example.net,fly,1,7.03,2024-05-16
cc270db6-0336-4e8c-837a-f9a7d86750b9,Frank Graham,vmarshall@example.com,school,10,95.28,2024-04-13
d7808930-819f-4cd8-ad3f-6cb0c31557c2,Paula Neal,sean67@example.org,bit,1,13.62,2024-04-16
afc3d42f-6dbe-4d4e-bd6a-c5190bdc4f96,Cameron Hernandez,greenkevin@example.com,every,9,58.96,2024-09-14
ce278ea5-95e9-444b-8e8b-21fca4c3782f,Miguel Weaver,zwhite@example.org,left,1,95.21,2024-06-10
